TAG,CL,CD,NS,NR,SS,SR,SRT,PLT,TAG,Site_name,REGION,,,,,,,
2855,2,3,3,0,2,0,1.2,1,2855,Buckhorn,CAKLA,,,,,,,
2872,2,3,3,1,2,0,1,1,2872,Buckhorn,CAKLA,,,,,,,
2908,2,3,3,1,3,0,1,1,2908,Buckhorn,CAKLA,,,,,,,
2943,2,3,3,1,3,1,1.1,1,2943,Buckhorn,CAKLA,,,,,,,
2998,2,3,3,1,3,1,1,1,2998,Buckhorn,CAKLA,,,,,,,
3017,2,3,3,0,3,0,1.4,1,3017,Buckhorn,CAKLA,,,,,,,
3076,2,3,3,2,3,1,1,1,3076,Buckhorn,CAKLA,,,,,,,
3096,2,3,3,1,3,1,1.3,1,3096,Buckhorn,CAKLA,,,,,,,
3153,1,4,2,0,3,0,1.9,1,3153,Buckhorn,CAKLA,,,,,,,
3186,2,3,2,0,3,0,1.4,1,3186,Buckhorn,CAKLA,,,,,,,
7522,2,3,3,2,3,1,1.5,1,7522,Buckhorn,CAKLA,,,,,,,
7555,1,4,3,0,2,0,2,1,7555,Buckhorn,CAKLA,,,,,,,
7593,2,2,2,0,2,1,1,1,7593,Buckhorn,CAKLA,,,,,,,
7624,2,3,3,1,3,1,1,1,7624,Buckhorn,CAKLA,,,,,,,
7681,2,2,3,3,2,2,1,1,7681,Buckhorn,CAKLA,,,,,,,
7709,2,3,2,0,3,0,0.7,1,7709,Buckhorn,CAKLA,,,,,,,
7749,2,3,2,0,3,0,1.6,1,7749,Buckhorn,CAKLA,,,,,,,
7802,2,4,3,0,3,0,2,1,7802,Buckhorn,CAKLA,,,,,,,
7823,1,4,3,0,3,0,1.8,1,7823,Buckhorn,CAKLA,,,,,,,
7880,2,3,3,1,3,1,1.1,1,7880,Buckhorn,CAKLA,,,,,,,
3784,2,3,3,0,2,0,1.4,2,3784,Buckhorn,CACST,,,,,,,
3794,2,2,2,0,2,0,1,2,3794,Buckhorn,CACST,,,,,,,
3824,2,3,3,1,3,0,1.1,2,3824,Buckhorn,CACST,,,,,,,
3865,1,4,2,0,3,0,2.1,2,3865,Buckhorn,CACST,,,,,,,
3899,2,3,3,0,3,0,1.1,2,3899,Buckhorn,CACST,,,,,,,
3941,2,2,3,1,3,1,1,2,3941,Buckhorn,CACST,,,,,,,
3959,,,,,,,,2,3959,Buckhorn,CACST,,,,,,,
4010,1,4,2,0,2,0,2,2,4010,Buckhorn,CACST,,,,,,,
4048,,,,,,,,2,4048,Buckhorn,CACST,,,,,,,
4085,2,3,3,0,3,0,1.5,2,4085,Buckhorn,CACST,,,,,,,
4103,,,,,,,,2,4103,Buckhorn,CACST,,,,,,,
8475,2,3,3,0,3,1,1.1,2,8475,Buckhorn,CACST,,,,,,,
8513,2,3,3,0,3,0,1.4,2,8513,Buckhorn,CACST,,,,,,,
8545,2,3,3,1,2,0,2.4,2,8545,Buckhorn,CACST,,,,,,,
8549,1,4,2,0,2,0,2.1,2,8549,Buckhorn,CACST,,,,,,,
8622,1,4,3,0,2,0,2.2,2,8622,Buckhorn,CACST,,,,,,,
8633,2,4,3,0,3,0,1.8,2,8633,Buckhorn,CACST,,,,,,,
8665,2,2,3,1,3,1,0.9,2,8665,Buckhorn,CACST,,,,,,,
8684,1,4,3,0,2,0,2.2,2,8684,Buckhorn,CACST,,,,,,,
31799,,,,,,,,2,31799,Buckhorn,CACST,,,,,,,
138,2,2,2,0,2,1,2.9,3,138,Buckhorn,ORCASH,,,,,,,
841,1,4,3,0,3,0,2.4,3,841,Buckhorn,ORCASH,,,,,,,
847,1,4,2,0,2,0,2.9,3,847,Buckhorn,ORCASH,,,,,,,
886,2,3,2,0,3,0,1.3,3,886,Buckhorn,ORCASH,,,,,,,
952,2,3,3,0,3,0,1.9,3,952,Buckhorn,ORCASH,,,,,,,
1033,1,4,3,0,3,0,1.7,3,1033,Buckhorn,ORCASH,,,,,,,
1923,2,3,3,0,3,0,1.1,3,1923,Buckhorn,ORCASH,,,,,,,
1959,2,3,2,1,2,0,1.4,3,1959,Buckhorn,ORCASH,,,,,,,
2015,2,4,3,0,3,3,2,3,2015,Buckhorn,ORCASH,,,,,,,
5090,1,4,3,0,3,0,2.6,3,5090,Buckhorn,ORCASH,,,,,,,
5121,2,4,3,0,3,0,2,3,5121,Buckhorn,ORCASH,,,,,,,
5800,2,3,3,0,2,0,1.2,3,5800,Buckhorn,ORCASH,,,,,,,
5847,2,3,3,0,3,0,2.1,3,5847,Buckhorn,ORCASH,,,,,,,
5880,2,3,3,0,3,0,1.4,3,5880,Buckhorn,ORCASH,,,,,,,
5921,2,4,3,0,3,0,2.1,3,5921,Buckhorn,ORCASH,,,,,,,
5963,2,3,2,1,3,1,1,3,5963,Buckhorn,ORCASH,,,,,,,
5978,2,3,2,0,2,0,1,3,5978,Buckhorn,ORCASH,,,,,,,
6700,2,3,3,1,3,0,1.9,3,6700,Buckhorn,ORCASH,,,,,,,
6742,2,3,2,0,3,0,1.1,3,6742,Buckhorn,ORCASH,,,,,,,
6782,2,3,3,0,3,0,1.3,3,6782,Buckhorn,ORCASH,,,,,,,
1284,2,3,3,0,3,0,1.7,4,1284,Buckhorn,ORSISL,,,,,,,
1296,1,4,2,1,2,0,2.4,4,1296,Buckhorn,ORSISL,,,,,,,
1320,2,3,2,1,2,0,1,4,1320,Buckhorn,ORSISL,,,,,,,
1393,2,3,3,0,3,0,2,4,1393,Buckhorn,ORSISL,,,,,,,
1433,2,4,3,0,3,0,1.9,4,1433,Buckhorn,ORSISL,,,,,,,
1488,2,3,2,0,2,0,2.2,4,1488,Buckhorn,ORSISL,,,,,,,
1502,1,3,3,0,3,0,1.5,4,1502,Buckhorn,ORSISL,,,,,,,
1528,2,3,3,0,2,0,1.1,4,1528,Buckhorn,ORSISL,,,,,,,
1554,2,3,3,1,3,0,1.3,4,1554,Buckhorn,ORSISL,,,,,,,
1835,2,3,3,1,3,0,1.2,4,1835,Buckhorn,ORSISL,,,,,,,
6142,2,4,2,1,2,0,2.5,4,6142,Buckhorn,ORSISL,,,,,,,
6175,2,3,3,0,3,0,1.3,4,6175,Buckhorn,ORSISL,,,,,,,
6234,2,4,3,0,2,0,2,4,6234,Buckhorn,ORSISL,,,,,,,
6263,2,4,3,0,3,0,2.3,4,6263,Buckhorn,ORSISL,,,,,,,
6295,1,3,3,2,3,0,1.1,4,6295,Buckhorn,ORSISL,,,,,,,
6339,1,4,3,0,2,0,2,4,6339,Buckhorn,ORSISL,,,,,,,
6612,2,3,3,0,3,0,1.2,4,6612,Buckhorn,ORSISL,,,,,,,
6644,2,3,3,1,2,0,1,4,6644,Buckhorn,ORSISL,,,,,,,
6658,2,3,3,1,2,1,1.2,4,6658,Buckhorn,ORSISL,,,,,,,
11443,2,2,2,1,2,1,0.9,4,11443,Buckhorn,ORSISL,,,,,,,
588,2,3,2,0,3,0,1,5,588,Buckhorn,ORSISH,,,,,,,
620,2,3,2,0,2,0,1,5,620,Buckhorn,ORSISH,,,,,,,
657,2,3,3,1,2,1,1,5,657,Buckhorn,ORSISH,,,,,,,
692,1,4,3,0,2,0,2,5,692,Buckhorn,ORSISH,,,,,,,
714,2,3,3,1,3,0,1.2,5,714,Buckhorn,ORSISH,,,,,,,
1594,2,2,1,1,2,1,0,5,1594,Buckhorn,ORSISH,,,,,,,
1623,2,3,3,0,2,0,1.3,5,1623,Buckhorn,ORSISH,,,,,,,
2362,2,3,2,0,2,0,1.2,5,2362,Buckhorn,ORSISH,,,,,,,
2424,2,4,2,1,2,1,1.6,5,2424,Buckhorn,ORSISH,,,,,,,
5566,2,3,3,0,2,1,1,5,5566,Buckhorn,ORSISH,,,,,,,
5606,2,3,3,0,2,0,1.4,5,5606,Buckhorn,ORSISH,,,,,,,
5629,1,3,3,0,3,0,1.4,5,5629,Buckhorn,ORSISH,,,,,,,
5643,1,4,3,0,3,0,2,5,5643,Buckhorn,ORSISH,,,,,,,
5705,2,3,3,0,3,0,1.3,5,5705,Buckhorn,ORSISH,,,,,,,
6355,2,4,3,0,2,0,2.4,5,6355,Buckhorn,ORSISH,,,,,,,
6421,2,3,2,1,2,1,1.3,5,6421,Buckhorn,ORSISH,,,,,,,
6633,1,4,3,0,3,0,1.9,5,6633,Buckhorn,ORSISH,,,,,,,
6635,2,3,3,1,3,0,1.4,5,6635,Buckhorn,ORSISH,,,,,,,
7134,2,4,3,0,3,0,2,5,7134,Buckhorn,ORSISH,,,,,,,
7168,,,,,,,,5,7168,Buckhorn,ORSISH,,,,,,,
1759,2,4,3,0,2,0,2,6,1759,Buckhorn,ORCSTS,,,,,,,
1773,2,4,3,0,2,0,2.2,6,1773,Buckhorn,ORCSTS,,,,,,,
2648,2,3,3,1,3,0,1.2,6,2648,Buckhorn,ORCSTS,,,,,,,
2693,1,4,2,0,2,0,1.8,6,2693,Buckhorn,ORCSTS,,,,,,,
2747,1,4,3,0,3,0,2.7,6,2747,Buckhorn,ORCSTS,,,,,,,
2769,2,4,3,0,3,0,2.7,6,2769,Buckhorn,ORCSTS,,,,,,,
4475,2,4,3,0,2,0,2.5,6,4475,Buckhorn,ORCSTS,,,,,,,
4506,2,4,3,0,2,0,2.1,6,4506,Buckhorn,ORCSTS,,,,,,,
4794,2,3,3,0,2,0,1.4,6,4794,Buckhorn,ORCSTS,,,,,,,
4841,1,4,3,0,2,0,2.4,6,4841,Buckhorn,ORCSTS,,,,,,,
6534,1,3,2,0,2,0,1.9,6,6534,Buckhorn,ORCSTS,,,,,,,
6565,1,4,3,0,3,0,2.8,6,6565,Buckhorn,ORCSTS,,,,,,,
7358,3,1,2,0,2,0,0.4,6,7358,Buckhorn,ORCSTS,,,,,,,
7395,2,4,2,0,2,0,2,6,7395,Buckhorn,ORCSTS,,,,,,,
7430,2,3,3,0,3,0,1.2,6,7430,Buckhorn,ORCSTS,,,,,,,
7461,1,4,3,1,3,0,2.3,6,7461,Buckhorn,ORCSTS,,,,,,,
7497,2,4,2,0,2,0,2.3,6,7497,Buckhorn,ORCSTS,,,,,,,
9037,1,3,3,0,3,0,2.4,6,9037,Buckhorn,ORCSTS,,,,,,,
9315,2,4,3,0,2,0,2,6,9315,Buckhorn,ORCSTS,,,,,,,
9363,1,4,3,0,3,0,2.8,6,9363,Buckhorn,ORCSTS,,,,,,,
