Site_name,REGION,TAG,SNC_score,priority,pool_name,family
Nortons,WACASL,4546,0,1,WACASL_Nortons_R,8537
Nortons,WACASL,4733,0,2,WACASL_Nortons_R,8548
Nortons,WACASL,4738,0,3,WACASL_Nortons_R,8548
Nortons,WACASL,5276,0,4,WACASL_Nortons_R,1131
Nortons,WACASL,5299,0,5,WACASL_Nortons_R,1131
Nortons,WACASL,5395,0,6,WACASL_Nortons_R,1151
Nortons,WACASL,5464,0,7,WACASL_Nortons_R,1152
Nortons,WACASL,9095,0,8,WACASL_Nortons_R,8537
Nortons,WACASL,9144,0,9,WACASL_Nortons_R,8538
Nortons,WACASL,9240,0,10,WACASL_Nortons_R,8547
Nortons,ORSISH,1602,0,1,ORSISH_Nortons_R,3133
Nortons,ORSISH,1611,0,2,ORSISH_Nortons_R,3134
Nortons,ORSISH,2402,0,3,ORSISH_Nortons_R,6004
Nortons,ORSISH,5627,0,4,ORSISH_Nortons_R,1167
Nortons,ORSISH,5709,0,6,ORSISH_Nortons_R,1171
Nortons,ORSISH,6400,0,7,ORSISH_Nortons_R,3134
Nortons,ORSISH,736,1,8,ORSISH_Nortons_R,1171
Nortons,ORSISH,5576,1,9,ORSISH_Nortons_R,1166
Nortons,ORSISH,6357,1,10,ORSISH_Nortons_R,3133
Nortons,ORCSTN,2539,0,1,ORCSTN_Nortons_R,6020
Nortons,ORCSTN,2548,0,2,ORCSTN_Nortons_R,6020
Nortons,ORCSTN,2578,0,3,ORCSTN_Nortons_R,6021
Nortons,ORCSTN,4297,0,4,ORCSTN_Nortons_R,8045
Nortons,ORCSTN,4304,0,5,ORCSTN_Nortons_R,8045
Nortons,ORCSTN,4389,0,6,ORCSTN_Nortons_R,8524
Nortons,ORCSTN,6494,0,7,ORCSTN_Nortons_R,3148
Nortons,ORCSTN,7210,0,8,ORCSTN_Nortons_R,6016
Nortons,ORCSTN,7211,0,9,ORCSTN_Nortons_R,6016
Nortons,ORCSTN,7229,0,10,ORCSTN_Nortons_R,6019
Nortons,ORCSTS,1734,0,1,ORCSTS_Nortons_R,3180
Nortons,ORCSTS,1782,0,2,ORCSTS_Nortons_R,3209
Nortons,ORCSTS,2684,0,3,ORCSTS_Nortons_R,6050
Nortons,ORCSTS,2710,0,4,ORCSTS_Nortons_R,6050
Nortons,ORCSTS,2725,0,5,ORCSTS_Nortons_R,6058
Nortons,ORCSTS,4496,0,6,ORCSTS_Nortons_R,8528
Nortons,ORCSTS,4774,0,7,ORCSTS_Nortons_R,8551
Nortons,ORCSTS,4820,0,8,ORCSTS_Nortons_R,8552
Nortons,ORCSTS,4845,0,9,ORCSTS_Nortons_R,8552
Nortons,ORCSTS,6517,0,10,ORCSTS_Nortons_R,3180
Nortons,WACST,3602,0,1,WACST_Nortons_R,7201
Nortons,WACST,3652,0,2,WACST_Nortons_R,7202
Nortons,WACST,3685,0,3,WACST_Nortons_R,7205
Nortons,WACST,4138,0,4,WACST_Nortons_R,8025
Nortons,WACST,4613,0,5,WACST_Nortons_R,8541
Nortons,WACST,4645,0,6,WACST_Nortons_R,8542
Nortons,WACST,8733,0,7,WACST_Nortons_R,8025
Nortons,WACST,8820,0,8,WACST_Nortons_R,8027
Nortons,WACST,8875,0,9,WACST_Nortons_R,8028
Nortons,WACST,8876,0,10,WACST_Nortons_R,8028
Floras,ORCSTS,1761,0,1,ORCSTS_Floras_R,3180
Floras,ORCSTS,1784,0,2,ORCSTS_Floras_R,3209
Floras,ORCSTS,4796,0,3,ORCSTS_Floras_R,8551
Floras,ORCSTS,4847,0,4,ORCSTS_Floras_R,8552
Floras,ORCSTS,6554,0,5,ORCSTS_Floras_R,3209
Floras,ORCSTS,7384,0,6,ORCSTS_Floras_R,6050
Floras,ORCSTS,7418,0,7,ORCSTS_Floras_R,6050
Floras,ORCSTS,7491,0,8,ORCSTS_Floras_R,6059
Floras,ORCSTS,9313,0,9,ORCSTS_Floras_R,8551
Floras,WACST,3757,0,1,WACST_Floras_R,7206
Floras,WACST,4125,0,2,WACST_Floras_R,8025
Floras,WACST,4206,0,3,WACST_Floras_R,8027
Floras,WACST,4255,0,4,WACST_Floras_R,8028
Floras,WACST,4659,0,5,WACST_Floras_R,8542
Floras,WACST,8385,0,6,WACST_Floras_R,7206
Floras,WACST,8847,0,7,WACST_Floras_R,8028
Floras,WACST,4620,1,8,WACST_Floras_R,8541
Floras,CACST,3830,0,1,CACST_Floras_R,7802
Floras,CACST,3930,0,2,CACST_Floras_R,7808
Floras,CACST,4072,0,3,CACST_Floras_R,7817
Floras,CACST,8448,0,4,CACST_Floras_R,7801
Floras,CACST,8459,0,5,CACST_Floras_R,7802
Floras,CACST,8572,0,6,CACST_Floras_R,7808
Floras,CACST,8650,0,7,CACST_Floras_R,7810
Floras,CACST,3868,1,8,CACST_Floras_R,7806
Floras,CACST,4101,1,9,CACST_Floras_R,7817
Buckhorn,ORCASL,24,0,1,ORCASL_combined_R,1026
Nortons,ORCASL,64,0,2,ORCASL_combined_R,1027
Floras,ORCASL,5159,0,3,ORCASL_combined_R,1038
Nortons,ORCASL,5189,0,4,ORCASL_combined_R,1038
Nortons,ORCASL,5217,0,5,ORCASL_combined_R,1039
Nortons,ORCASL,6041,0,6,ORCASL_combined_R,3029
Buckhorn,ORCASL,6079,0,7,ORCASL_combined_R,3053
Nortons,ORCASL,6107,0,8,ORCASL_combined_R,3054
Nortons,ORSISL,1280,0,1,ORSISL_combined_R,3076
Nortons,ORSISL,1505,0,4,ORSISL_combined_R,3094
Floras,ORSISL,1509,0,5,ORSISL_combined_R,3094
Nortons,ORSISL,6149,0,6,ORSISL_combined_R,3076
Floras,ORSISL,6349,0,7,ORSISL_combined_R,3095
Nortons,ORSISL,6670,0,8,ORSISL_combined_R,3306
Nortons,WACASH,344,0,1,WACASH_combined_R,1146
Nortons,WACASH,387,0,2,WACASH_combined_R,1147
Nortons,WACASH,2065,0,3,WACASH_combined_R,5042
Nortons,WACASH,2222,0,4,WACASH_combined_R,5122
Floras,WACASH,2256,0,5,WACASH_combined_R,5129
Nortons,WACASH,2337,0,6,WACASH_combined_R,5202
Nortons,WACASH,2336,1,7,WACASH_combined_R,5202
Nortons,WACASH,5484,1,8,WACASH_combined_R,1162
