Site_name,REGION,TAG,FAMILY,index,pool_type,pool_name,priority
Jammer,ORCASL,5216,1039,7.1,intolerant,ORCASL_Jammer_I,1
Jammer,ORCASL,1091,3028,7.6,intolerant,ORCASL_Jammer_I,2
Jammer,ORCASL,757,1198,9,intolerant,ORCASL_Jammer_I,3
Jammer,ORCASL,1149,3029,9.8,intolerant,ORCASL_Jammer_I,4
Jammer,ORCASL,5058,1027,9.8,intolerant,ORCASL_Jammer_I,5
Jammer,ORCASL,189,1038,9.3,intolerant,ORCASL_Jammer_I,6
Jammer,ORCASL,4858,1039,9.6,intolerant,ORCASL_Jammer_I,7
Jammer,ORCASL,6113,3054,10,intolerant,ORCASL_Jammer_I,8
Jammer,ORCASL,67,1027,10,intolerant,ORCASL_Jammer_I,9
Jammer,ORCASL,5726,1198,10,intolerant,ORCASL_Jammer_I,10
Jammer,ORCASH,899,1224,3.8,intolerant,ORCASH_Jammer_I,1
Jammer,ORCASH,1948,4053,7.4,intolerant,ORCASH_Jammer_I,2
Jammer,ORCASH,1900,4052,7.2,intolerant,ORCASH_Jammer_I,3
Jammer,ORCASH,5138,1030,10,intolerant,ORCASH_Jammer_I,4
Jammer,ORCASH,939,2028,9.5,intolerant,ORCASH_Jammer_I,5
Jammer,ORCASH,5908,3013,9.8,intolerant,ORCASH_Jammer_I,6
Jammer,ORCASH,81,1029,9.9,intolerant,ORCASH_Jammer_I,7
Jammer,ORCASH,5971,3014,9.8,intolerant,ORCASH_Jammer_I,8
Jammer,ORCASH,6775,4064,9.6,intolerant,ORCASH_Jammer_I,9
Jammer,ORCASH,5809,1223,10,intolerant,ORCASH_Jammer_I,10
Jammer,WACASL,461,1152,2,intolerant,WACASL_Jammer_I,1
Jammer,WACASL,288,1131,7.2,intolerant,WACASL_Jammer_I,2
Jammer,WACASL,9133,8538,8,intolerant,WACASL_Jammer_I,3
Jammer,WACASL,275,1130,6.4,intolerant,WACASL_Jammer_I,4
Jammer,WACASL,4543,8537,7.7,intolerant,WACASL_Jammer_I,5
Jammer,WACASL,9080,8537,7.7,intolerant,WACASL_Jammer_I,6
Jammer,WACASL,6927,5116,8.9,intolerant,WACASL_Jammer_I,7
Jammer,WACASL,311,1131,8.7,intolerant,WACASL_Jammer_I,8
Jammer,WACASL,6881,5115,9.7,intolerant,WACASL_Jammer_I,9
Jammer,WACASL,439,1151,9.8,intolerant,WACASL_Jammer_I,10
Jammer,WACASH,7001,5129,6,intolerant,WACASH_Jammer_I,1
Jammer,WACASH,2339,5202,7,intolerant,WACASH_Jammer_I,2
Jammer,WACASH,6812,5041,7.4,intolerant,WACASH_Jammer_I,3
Jammer,WACASH,2050,5041,7.5,intolerant,WACASH_Jammer_I,4
Jammer,WACASH,5516,1163,7.8,intolerant,WACASH_Jammer_I,5
Jammer,WACASH,5474,1162,7.7,intolerant,WACASH_Jammer_I,6
Jammer,WACASH,5322,1146,8.7,intolerant,WACASH_Jammer_I,7
Jammer,WACASH,5357,1147,7.8,intolerant,WACASH_Jammer_I,8
Jammer,WACASH,2089,5042,9.3,intolerant,WACASH_Jammer_I,9
Jammer,WACASH,7082,5202,9.2,intolerant,WACASH_Jammer_I,10
Jammer,ORSISH,2440,6005,3.8,intolerant,ORSISH_Jammer_I,1
Jammer,ORSISH,2377,6004,4.1,intolerant,ORSISH_Jammer_I,2
Jammer,ORSISH,1840,3296,6.7,intolerant,ORSISH_Jammer_I,3
Jammer,ORSISH,1644,3134,6,intolerant,ORSISH_Jammer_I,4
Jammer,ORSISH,7175,6005,6,intolerant,ORSISH_Jammer_I,5
Jammer,ORSISH,1641,3134,6.6,intolerant,ORSISH_Jammer_I,6
Jammer,ORSISH,705,1170,8.8,intolerant,ORSISH_Jammer_I,7
Jammer,ORSISH,5628,1167,6.2,intolerant,ORSISH_Jammer_I,8
Jammer,ORSISH,2397,6004,6.9,intolerant,ORSISH_Jammer_I,9
Jammer,ORSISH,740,1171,9.2,intolerant,ORSISH_Jammer_I,10
